B01001_001E,B19013_001E,NAME,state,county
204558,57021,"Elkhart County, Indiana",18,039
10569,41662,"Crawford County, Indiana",18,025
37880,49415,"Cass County, Indiana",18,017
951869,48316,"Marion County, Indiana",18,097
66342,46516,"Wayne County, Indiana",18,177
14628,57115,"Butler County, Iowa",19,023
6946,56750,"Fremont County, Iowa",19,071
14997,60910,"Hamilton County, Iowa",19,079
6167,50431,"Taylor County, Iowa",19,173
12358,49900,"Union County, Iowa",19,175
7445,57130,"Worth County, Iowa",19,195
4964,55271,"Ringgold County, Iowa",19,159
7085,53363,"Adair County, Iowa",19,001
12026,60034,"Chickasaw County, Iowa",19,037
9360,54427,"Clarke County, Iowa",19,039
17127,59969,"Dickinson County, Iowa",19,059
148577,62542,"Johnson County, Iowa",19,103
10188,52881,"Keokuk County, Iowa",19,107
17032,56037,"Tama County, Iowa",19,171
35141,46246,"Wapello County, Iowa",19,179
10162,56419,"Franklin County, Iowa",19,069
